Log for:/Users/brloureiro/dev-projects/webpage_new/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2022-12-21T06:23:14Z
#=#=#=# Syncrun finished 2022-12-21T06:23:14Z (last step: 16 msec , total: 16 msec) 
#=#=#=# Syncrun started 2022-12-21T08:57:33Z
#=#=#=# Syncrun finished 2022-12-21T08:57:33Z (last step: 12 msec , total: 12 msec) 
#=#=#=# Syncrun started 2022-12-22T00:40:42Z
#=#=#=# Syncrun finished 2022-12-22T00:40:42Z (last step: 5 msec , total: 5 msec) 
#=#=#=# Syncrun started 2022-12-22T20:48:43Z
#=#=#=#=# Propagation starts 2022-12-22T20:48:45Z (last step: 1975 msec , total: 1975 msec) 
2022-12-22T20:48:48Z | _includes/footer.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 109b3cdd5589608432f560a71975582f | 1075 | 2866001734ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 6bc8647e-ec51-4bf6-864b-620f5f2f266d | 
2022-12-22T20:48:47Z | _data/coauthors.yml | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | f4add324f040908658e5fe5b984d812c | 583 | 2866001750ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 78346e7f-4c79-45d0-ae84-5114b4d5ccfd | 
2022-12-22T20:48:45Z | _data | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 |  | 96 | 2866001658ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | ff1b61e9-1ec9-486e-b46d-337785ffabaf | 
2022-12-22T20:48:48Z | _bibliography/papers.bib | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663580440 | 9e71ab1cd79864a80248661d05664a5f | 8167 | 2866001766ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c8334dad-2421-474a-9ec9-87028b2b192f | 
2022-12-22T20:48:45Z | _bibliography | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 |  | 96 | 2866001662ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 65b13a90-3369-4130-90e0-7205e9baf658 | 
2022-12-22T20:48:47Z | _includes/figure.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | f1882f7766800728bc1a95b118d38983 | 738 | 2866001774ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 8630dcc6-1639-4677-814b-70f31bf5d8dd | 
2022-12-22T20:48:50Z | _includes/head.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 6ae69c7ca5ef90c560d381d1d7c50872 | 1919 | 2866001798ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | ac235877-69d3-4a8c-b0f4-0d4015c2ee48 | 
2022-12-22T20:48:51Z | _includes/pagination.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 4bde8608a9e9411e611853afbc1014ae | 911 | 2866001826ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 26f7d8c5-dfce-4b49-b1a7-d6fe6e364882 | 
2022-12-22T20:48:51Z | _includes/scripts/analytics.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 8858e717bc627cf33c1389a432edc909 | 851 | 2866001842ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 40a2412b-5f3d-41e0-aa08-bc4e4c00f12b | 
2022-12-22T20:48:50Z | _includes/news.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | e807c8a6eb52763fac8b4431fcd462d3 | 959 | 2866001850ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 74f23f0d-14e5-4540-94da-2343345d3acd | 
2022-12-22T20:48:50Z | _includes/metadata.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 0813f3f0c100432ad49054cb302d8b40 | 7683 | 2866001866ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c5d6efd4-a3cc-40be-9ed4-63a13323fe58 | 
